val,Effect,Species,Life stage,Exposure time  (hours),Source
170,LC50 of Parapristipoma trilineatum,Parapristipoma trilineatum,larvae,12,"Isono et al., 1998"
180,50% mortality of Acanthochromis polyacanthus due to starvation,Acanthochromis polyacanthus,Juvenile,1008,"Wenger et al., 2012"
488,LC50 for Chinook Salmon smolts,Chinook Salmon,Juvenile,96,"Stober et al., 1981"
509,LC50 for Coho Salmon smolts , Coho Salmon,Juvenile,96,"Stober et al., 1981"
710,LC50 of Oplegnaathus fasciatus ,Oplegnaathus fasciatus ,larvae,12,"Isono et al., 1998"
1000,>50% mortality of red seabream,Red seabream,larvae,12,"Isono et al., 1998"
1197,LC50 of Yaqui chub,Yaqui chub,larvae,120,"Barkalow and Bonar, 2015"
1400,LC50 for Sockeye Salmon ,Sockeye Salmon ,Juvenile,36,"Newcomb and Flagg, 1983"
3977,Yaqui chub,Yaqui chub,eggs,144,"Barkalow and Bonar, 2015"
4250,Rainbow trout,Rainbow trout,adult,588,"Herbert and Wakeford, 1962"
6900,LC50 for White Perch,White Perch,larvae,48,"Morgan et al., 1973"
8539,LC50 of Acipenser persicus fingerlings,Acipenser persicus,Juvenile,96,"Garakouei et al., 2009"
15367,LC50 of Acipenser stellatus fingerlings ,Acipenser stellatus ,Juvenile,96,"Garakouei et al., 2009"
16613,Lake whitefish,Lake whitefish,adult,96,"Lawrence and Scherer, 1974"
28000,Cunner,Cunner,adult,24,"Rogers, 1969"
